,date,star,b,v,r,i,cb,cv,cr,ci,xb,xv,xr,xi
65,121222,TPheD,2.07216,2.62228,2.92104,3.6302800000000004,2.164275,2.580901,2.908188,3.5217699999999996,-0.07640199,0.05639182,0.03059416,0.1756166
66,121227,TPheD,2.06144,2.6026,2.89178,3.5795199999999996,2.146462,2.527675,2.892402,3.5100300000000004,-0.04595452,0.05275843,0.01735564,0.1347016
67,121228,TPheD,2.0396799999999997,2.61012,2.88859,3.58344,2.145048,2.57139,2.893033,3.524233,-0.08420830000000001,0.039169999999999996,0.00739259,0.07739658
68,121229,TPheD,2.06632,2.625,2.90625,3.591,2.135878,2.59052,2.917061,3.488031,-0.05684768,0.04888947,0.00954867,0.1606204
69,121230,TPheD,2.09496,2.64188,2.92691,3.6196800000000002,2.188187,2.627663,2.932162,3.5802449999999997,-0.07463763,0.02919815,-0.000726,0.06419145
0,130102,RU149,2.1332,2.5684,2.87655,3.5266,2.13015,2.555469,2.865345,3.5323330000000004,-0.1000272,0.006552,-0.02530255,0.02789905
1,130103,RU149,2.1412,2.5804,2.88355,3.5466,2.146198,2.5773639999999998,2.861472,3.532777,-0.1291776,-0.0023284000000000004,-0.06182958,0.03898624
2,130104,RU149,2.1422,2.5744,2.88755,3.5786,2.147568,2.562665,2.862689,3.5339419999999997,-0.10572650000000001,0.01173086,-0.05679048,-0.03222164
3,130105,RU149,2.1932400000000003,2.6086400000000003,2.93723,3.59136,2.199935,2.6101669999999997,2.912716,3.608175,-0.1046289,-0.00631403,-0.00692134,0.1104248
4,130106,RU149,2.15124,2.61108,2.9210599999999998,3.60092,2.168182,2.5969349999999998,2.898078,3.5920129999999997,-0.1189096,0.00955587,-0.0200545,0.07489455
5,130107,RU149,2.15556,2.60252,2.91289,3.5904800000000003,2.1648110000000003,2.595866,2.881026,3.597225,-0.1051797,-0.01080341,-0.05647993,0.09080452
6,130108,RU149,2.17024,2.6175200000000003,2.92389,3.6014800000000005,2.176891,2.603224,2.8995439999999997,3.575993,-0.10952169999999999,-0.00601318,-0.02860587,-0.02006286
7,130109,RU149,2.2252,2.6504,2.96555,3.6046,2.22685,2.644133,2.93343,3.6311190000000004,-0.1075818,-0.0052312,-0.03987618,0.06231464
8,130111,RU149,2.17116,2.60616,2.92495,3.5724,2.184102,2.5920360000000002,2.897113,3.581578,-0.12387460000000002,-0.00529253,-0.05986473,0.0745772
9,130113,RU149,2.2482,2.6704,2.98455,3.6256,2.241186,2.668218,2.9564470000000003,3.630754,-0.10321860000000002,-0.01486975,-0.03727476,0.04055964
10,130114,RU149,2.23388,2.66696,3.22872,3.64704,2.246921,2.649435,3.211044,3.6260660000000002,-0.1229075,0.02619181,-0.02156449,-0.0264808
11,130115,RU149,2.2326,2.6292,2.94057,3.60324,2.212478,2.617716,2.9170689999999997,3.610117,-0.1447248,-0.00143625,-0.05150562,0.05584224
12,130124,RU149,2.0932,2.5654,2.88055,3.5006,2.1377080000000004,2.557311,2.863982,3.517307,-0.1413936,-0.01691451,-0.05312118,0.12598130000000002
13,130125,RU149,2.09388,2.54196,2.70972,3.5174800000000004,2.127241,2.557028,2.760185,3.514847,-0.11921889999999999,-0.01325973,-0.150956,-0.04069703
14,130128,RU149,2.1242,2.5464,2.86355,3.4956,2.1227560000000003,2.541302,2.839546,3.4942370000000005,-0.09858861,-0.02179433,-0.05484578,-0.00282077
15,130129,RU149,2.1165599999999998,2.5535200000000002,2.86889,3.51548,2.1409599999999998,2.54966,2.861228,3.5215959999999997,-0.1566021,0.01901724,-0.01745298,0.03551077
16,130130,RU149,2.1049599999999997,2.5493200000000003,2.87357,3.49724,2.122374,2.530406,2.8435919999999997,3.5200730000000005,-0.1011788,-0.07265665,-0.01902671,
0,130208,RU149,2.162,2.585,2.89142,3.55744,2.169041,2.574924,2.87311,3.561374,-0.1214445,0.00512994,-0.03071014,0.05170367
1,130210,RU149,2.12288,2.56196,2.8957200000000003,3.53304,2.132406,2.5514919999999996,2.8634310000000003,3.530303,-0.11856689999999999,0.00799697,-0.02986882,0.0416287
2,130211,RU149,2.11888,2.54696,2.88072,3.53504,2.138098,2.552953,2.850423,3.51595,-0.12840610000000002,-0.02883399,-0.03377163,0.05004925
3,130212,RU149,2.1215599999999997,2.55152,2.8778900000000003,3.5319199999999995,2.1330400000000003,2.546246,2.841879,3.5121309999999997,-0.11492930000000001,0.012035899999999999,-0.04327544,0.02910183
4,130213,RU149,2.11332,2.55844,2.87425,3.5439999999999996,2.129635,2.548648,2.851723,3.5475230000000004,-0.1398544,0.01861333,-0.05051406,0.11760280000000001
5,130214,RU149,2.1412,2.5794,2.87955,3.5436,2.1473430000000002,2.552695,2.848617,3.5465480000000005,-0.1232182,0.028288599999999997,-0.05865641,0.06891239
6,130215,RU149,2.1082,2.5624,2.88655,3.5456,2.1315939999999998,2.554361,2.853067,3.549458,-0.1382305,-0.004841300000000001,-0.04653626,0.07289243
7,130216,RU149,2.1402,2.5754,2.87755,3.5556,2.14595,2.55965,2.8454639999999998,3.577346,-0.13112620000000003,0.006661,-0.05239163,0.1770635
