,date,juliandate,NMraw,mag3,mag4,mag5,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
127,60227,2453794.6475400003,22.605,19.624000000000002,20.118,21.934,19.817,18.983,21.166,20.137999999999998,21.107,0.048,4.307124999999999,0.026664248402284728,18.297875
128,60302,2453797.76585,22.675,19.187,19.698,21.541999999999998,19.410999999999998,18.563,20.774,19.722,20.715999999999998,0.069,3.897874999999999,0.025090906150011544,18.777125
129,60303,2453798.77321,22.691,19.221,19.718,21.595,19.41,18.575,20.758000000000003,19.727,20.705,0.053,3.909874999999999,0.007100050301962473,18.781125
130,60305,2453800.68788,22.706,19.199,19.677,21.573,19.389,18.544,20.721999999999998,19.698,20.705,0.05,3.8846249999999993,0.00969443875938237,18.821375
131,60306,2453801.70257,22.787,19.195999999999998,19.708,21.558000000000003,19.409000000000002,18.565,20.741999999999997,19.715,20.726999999999997,0.07,3.8987499999999993,0.017136010537533955,18.88825
132,60307,2453802.66319,22.785,19.224,19.704,21.59,19.415,18.570999999999998,20.77,19.73,20.733,0.059000000000000004,3.9133749999999994,0.01307055032182555,18.871625
133,60308,2453803.63875,22.774,19.250999999999998,19.733,21.59,19.44,18.59,20.791,19.759,20.759,0.07400000000000001,3.935374999999999,0.019055839000287365,18.838625
134,60309,2453804.68295,22.755,19.192,19.715999999999998,21.625,19.422,18.595,20.739,19.735,20.747,0.066,3.917624999999999,0.020437622869906125,18.837375
135,60310,2453805.68213,22.842,19.243,19.738,21.646,19.434,18.592,20.77,19.753,20.756,0.069,3.937749999999999,0.013166515972646845,18.90425
136,60311,2453806.69588,22.891,19.248,19.759,21.669,19.449,18.601,20.752,19.757,20.766,0.08,3.946375,0.021219515949682927,18.944625
137,60318,2453813.67835,22.611,19.241,19.692999999999998,21.609,19.441,18.596,20.785,19.74,20.746,0.057,3.927624999999999,0.01666422601175058,18.683375
138,60320,2453815.71537,22.776999999999997,19.247,19.749000000000002,21.575,19.445999999999998,18.604,20.785999999999998,19.765,20.750999999999998,0.068,3.936624999999999,0.022225709051872405,18.840374999999998
139,60321,2453816.65095,22.941,19.252,19.733,21.59,19.433,18.595,20.79,19.747,20.765,0.08900000000000001,3.9343749999999997,0.01944910941760367,19.006625
140,60322,2453817.6878400003,22.79,19.27,19.756,21.624000000000002,19.465999999999998,18.622,20.796,19.772000000000002,20.754,0.055999999999999994,3.9537499999999994,0.008581541653325368,18.83625
141,60324,2453819.6058099996,22.741,19.238,19.758,21.646,19.438,18.598,20.788,19.764,20.749000000000002,0.055999999999999994,3.9436249999999995,0.01335169866134872,18.797375
142,60326,2453821.62459,22.653000000000002,19.236,19.738,21.636,19.436,18.597,20.779,19.757,20.704,0.053,3.931625,0.014070612739205639,18.721375000000002
143,60328,2453823.65967,22.445,19.244,19.749000000000002,21.656,19.444000000000003,18.604,20.774,19.746,20.691999999999997,0.048,3.934874999999999,0.020739455152057742,18.510125000000002
144,60403,2453829.59673,22.755,19.27,19.754,21.645,19.449,18.619,20.822,19.759,20.774,0.077,3.9577499999999994,0.014058551032995085,18.79725
145,60404,2453830.59658,22.925,19.273,19.747,21.66,19.457,18.614,20.813000000000002,19.764,20.735,0.077,3.954125,0.013399760125913438,18.970875
146,60406,2453832.6419,22.815,19.288,19.792,21.584,,18.639,20.776999999999997,19.803,20.787,0.071,3.964285714285714,0.0365226609368021,18.850714285714286
147,60407,2453833.63678,22.564,19.250999999999998,19.756,21.635,19.456,18.616,20.788,19.768,20.755,0.051,3.949374999999999,0.0061397417350976665,18.614625
148,60408,2453834.63584,22.875,19.281,19.779,21.623,19.463,18.633,20.801,19.785,20.718000000000004,0.079,3.9566250000000003,0.021273306546582785,18.918375
149,60409,2453835.6496,22.711,19.284000000000002,19.797,21.699,19.482,18.635,20.836,19.794,20.798000000000002,0.066,3.986875,0.015459047281860793,18.724124999999997
150,60412,2453838.67415,23.034000000000002,19.295,19.799,21.7,19.495,18.636,20.816,19.796,20.771,0.109,3.9847499999999996,0.014439529078102222,19.049250000000004
151,60414,2453840.60036,23.165,19.265,19.745,21.589000000000002,19.421,18.608,20.804000000000002,19.7,20.77,0.126,3.934,0.03038796754358127,19.230999999999998
152,60417,2453843.6447900003,22.811,19.28,19.764,21.655,19.472,18.634,20.808000000000003,19.785,20.768,0.079,3.967000000000001,0.004174754055407437,18.843999999999998
153,60419,2453845.6045,22.679000000000002,19.288,19.776,21.636999999999997,19.471,18.625,20.824,19.779,20.775,0.066,3.9681249999999992,0.012699128204083518,18.710875
154,60420,2453846.59253,22.805999999999997,19.326,19.811,21.682,19.525,18.688,20.85,19.829,20.791,0.073,4.0089999999999995,0.011237691679503071,18.796999999999997
155,60421,2453847.57014,22.801,19.272000000000002,19.75,21.715,19.462,18.623,20.823,19.77,20.779,0.081,3.9704999999999995,0.02521337513533418,18.8305
