juliandate NMcal merr1
2456486.550 18.522 0.055
2456489.546 18.513 0.060
2456506.472 18.630 0.085
2456610.827 18.287 0.063
2456618.815 18.651 0.066
2456621.835 19.022 0.230
2456628.813 18.416 0.058
2456632.814 18.450 0.055
2456645.800 18.600 0.072
2456648.820 18.495 0.062
2456653.817 18.238 0.045
2456656.782 18.374 0.052
2456659.813 18.413 0.053
2456662.788 18.503 0.059
2456665.810 18.388 0.060
2456671.777 18.520 0.078
2456673.787 18.305 0.072
2456677.809 18.368 0.048
2456680.728 18.908 0.171
2456683.778 18.328 0.055
2456687.703 18.418 0.056
2456694.742 18.721 0.067
2456699.733 18.505 0.075
2456703.746 18.312 0.079
2456708.652 18.491 0.077
2456711.728 18.279 0.048
2456713.718 18.315 0.041
2456715.608 18.420 0.050
2456718.710 18.234 0.041
2456721.725 18.658 0.061
2456724.691 18.265 0.049
2456727.630 18.316 0.055
2456731.730 18.440 0.071
2456735.605 18.444 0.079
2456738.727 18.342 0.047
2456741.718 18.391 0.048
2456745.709 18.451 0.045
2456748.615 18.438 0.053
2456754.579 18.199 0.055
2456757.623 18.453 0.057
2456760.587 18.419 0.056
2456763.603 18.457 0.070
2456767.670 18.196 0.037
2456771.573 18.246 0.040
2456803.484 18.175 0.042
2456809.514 18.273 0.043
2456822.515 18.281 0.066
2456825.526 18.383 0.050
2456841.485 19.124 0.382
2456856.523 18.466 0.074
2457009.807 18.561 0.063
2457012.828 18.315 0.046
2457014.825 18.596 0.050
2457017.829 18.423 0.054
2457020.802 18.377 0.062
2457026.794 18.432 0.066
2457031.819 18.453 0.061
2457034.768 18.491 0.056
2457037.745 18.314 0.040
2457040.849 18.463 0.037
2457048.805 18.508 0.057
2457052.784 18.396 0.043
2457056.726 18.721 0.088
2457059.732 18.436 0.066
2457062.698 18.293 0.054
2457065.706 18.496 0.055
2457069.683 18.345 0.047
2457072.672 18.293 0.055
2457076.669 18.387 0.057
2457080.670 18.348 0.060
2457084.666 18.503 0.070
2457094.630 18.649 0.058
2457098.634 19.017 0.193
2457103.644 18.210 0.049
2457112.583 18.419 0.069
2457115.634 18.443 0.077
2457125.653 18.557 0.062
2457126.646 19.305 0.392
2457129.660 18.606 0.051
2457135.601 18.685 0.072
2457139.592 18.538 0.067
2454983.650 18.963 0.101
2453345.771 18.619 0.062
2453349.799 18.483 0.051
2453353.798 18.426 0.047
2453357.750 18.616 0.057
2453372.768 18.517 0.043
2453377.753 18.656 0.060
2453381.727 18.651 0.051
2453385.691 18.422 0.049
2453396.677 18.590 0.066
2453398.670 18.526 0.048
2453405.724 18.510 0.038
2453409.759 18.601 0.048
2453412.731 18.472 0.049
2453415.819 18.540 0.043
2453421.826 18.371 0.043
2453425.750 18.353 0.062
2453427.754 18.567 0.069
2453433.741 18.611 0.041
2453438.719 18.427 0.060
2453445.751 18.515 0.038
2453453.669 18.482 0.053
2453460.610 18.589 0.060
2453464.571 18.381 0.042
2453470.681 18.433 0.036
2453476.651 18.599 0.050
2453483.564 18.575 0.066
2453103.683 18.604 0.052
2453107.580 18.709 0.055
2453111.525 18.666 0.055
2453113.600 18.595 0.039
2453116.588 18.660 0.046
2453126.467 18.728 0.052
2453127.499 18.952 0.061
2453130.559 18.906 0.077
2453131.594 18.685 0.072
2453140.535 18.730 0.050
2453143.585 18.592 0.080
2453146.501 18.667 0.042
2453152.498 18.603 0.049
2453158.450 18.580 0.068
2453159.516 18.780 0.076
2453160.449 18.772 0.067
2453162.476 18.663 0.049
2453165.473 18.737 0.049
2453169.521 18.760 0.053
2453175.477 18.715 0.047
2453180.468 18.578 0.051
2453184.455 18.664 0.057
2453187.459 18.848 0.079
2453188.477 18.706 0.076
2453190.454 18.921 0.082
2453193.477 19.011 0.102
2453194.457 18.649 0.074
2453196.504 18.741 0.067
2453201.516 18.550 0.045
2453205.458 18.511 0.058
2453332.801 18.588 0.070
2453347.769 18.392 0.045
2453351.805 18.593 0.056
2453355.770 18.591 0.057
2453359.747 18.588 0.045
2453374.689 18.742 0.062
2453379.770 18.229 0.032
2453383.693 18.619 0.056
2453393.784 18.623 0.069
2453397.674 18.563 0.071
2453404.784 18.628 0.068
2453407.741 18.348 0.044
2453411.795 18.293 0.035
2453414.769 18.446 0.047
2453420.775 18.411 0.043
2453424.745 18.656 0.070
2453426.728 18.785 0.079
2453430.718 18.641 0.067
2453435.758 18.308 0.033
2453442.716 18.546 0.050
2453448.653 18.659 0.069
2453459.665 18.319 0.051
2453461.682 18.637 0.057
2453467.597 18.515 0.056
2453473.629 18.363 0.045
2453478.569 18.615 0.052
