,date,juliandate,NMraw,mag3,mag4,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
207,80210,2454507.7812200002,23.114,19.500999999999998,19.942999999999998,19.254,18.739,20.674,19.631,20.958000000000002,0.044000000000000004,2.7842857142857143,0.008557925872474816,20.329714285714285
208,80212,2454509.69353,23.095,19.547,19.989,19.301,18.785,20.714000000000002,19.683,21.008000000000003,0.037000000000000005,2.8310000000000004,0.006298147875843655,20.264
209,80214,2454511.7156599998,23.194000000000003,19.542,19.987000000000002,19.299,18.781,20.68,19.687,21.01,0.043,2.8251428571428576,0.012239670085814018,20.368857142857145
210,80216,2454513.7481,22.384,19.778,20.192999999999998,19.535999999999998,19.012999999999998,20.93,19.916,21.255,0.026000000000000002,3.0587142857142844,0.01282853961174344,19.325285714285716
211,80222,2454519.80503,22.717,19.512999999999998,19.949,19.266,18.757,20.701999999999998,19.65,21.041,0.075,2.809714285714285,0.020894291770063973,19.907285714285713
212,80224,2454521.7805,23.055999999999997,19.52,19.97,19.272000000000002,18.756,20.71,19.646,21.008000000000003,0.08199999999999999,2.810285714285715,0.011101265479127376,20.245714285714282
213,80227,2454524.75802,23.058000000000003,19.523,19.974,19.28,18.767,20.706,19.658,20.998,0.054000000000000006,2.813714285714286,0.006343350474252086,20.244285714285716
214,80301,2454527.72206,22.741,19.526,19.972,19.297,18.788,20.7,19.642,20.984,0.037000000000000005,2.8141428571428575,0.016697590359376478,19.92685714285714
215,80310,2454536.70126,22.53,19.619,20.064,19.375999999999998,18.864,20.791,19.756,21.105,0.035,2.9092857142857143,0.004231401884035528,19.620714285714286
216,80316,2454542.64443,22.706999999999997,19.546,19.99,19.302,18.782,20.726999999999997,19.686,21.017,0.052000000000000005,2.834285714285713,0.006447590912234555,19.872714285714284
217,80325,2454551.74543,22.793000000000003,19.58,20.012,19.332,,20.729,19.699,20.997,0.077,2.8481666666666663,0.021812076165915743,19.944833333333335
218,80328,2454554.69784,22.948,19.534000000000002,19.977999999999998,19.289,18.772000000000002,20.705,19.676,21.017,0.051,2.823,0.0034641016150379973,20.125
219,80329,2454555.7031799997,22.979,19.542,19.985,19.294,18.776,20.701999999999998,19.682000000000002,21.002,0.044000000000000004,2.8247142857142857,0.006799859942634164,20.154285714285713
